flag_id,track,flagged_side,first_flagged_at,first_flagged_model_prob,first_flagged_market_price,first_flagged_edge,consensus_available,consensus_label,consensus_price,consensus_edge,last_seen_at,last_seen_market_price,status,closing_market_price,closing_pulled_at,price_moved,clv_edge_at_close,series_ticker,city_label,station_id,target_date,strike_type,floor_strike,cap_strike,forecast_kind,forecast_value_f,lead_days,model_sigma_f,sigma_source
KXLOWTDC-26SEP07-B64.5,weather,no,2026-09-09T17:35:00Z,0.827,0.155,0.672,False,,,,2026-09-09T17:35:00Z,0.155,open,,,,,KXLOWTDC,Lowest Temperature DC ,KDCA,2026-09-07,between,64.0,65.0,min,65.0,0,2.23,literature_placeholder
KXLOWTDC-26SEP07-B62.5,weather,yes,2026-09-09T17:35:00Z,0.0956,0.065,0.0306,False,,,,2026-09-09T17:35:00Z,0.065,open,,,,,KXLOWTDC,Lowest Temperature DC ,KDCA,2026-09-07,between,62.0,63.0,min,65.0,0,2.23,literature_placeholder
KXLOWTSATX-26SEP07-T78,weather,yes,2026-09-09T17:35:00Z,0.327,0.155,0.172,False,,,,2026-09-09T17:35:00Z,0.155,open,,,,,KXLOWTSATX,Lowest Temperature SATX,KSAT,2026-09-07,greater,78.0,,min,77.0,0,2.23,literature_placeholder
KXLOWTSATX-26SEP07-B77.5,weather,no,2026-09-09T17:35:00Z,0.827,0.39,0.437,False,,,,2026-09-09T17:35:00Z,0.39,open,,,,,KXLOWTSATX,Lowest Temperature SATX,KSAT,2026-09-07,between,77.0,78.0,min,77.0,0,2.23,literature_placeholder
KXLOWTSATX-26SEP07-B75.5,weather,yes,2026-09-09T17:35:00Z,0.142,0.035,0.107,False,,,,2026-09-09T17:35:00Z,0.035,open,,,,,KXLOWTSATX,Lowest Temperature SATX,KSAT,2026-09-07,between,75.0,76.0,min,77.0,0,2.23,literature_placeholder
KXLOWTLAX-26SEP07-T70,weather,no,2026-09-09T17:35:00Z,0.5,0.33,0.17,False,,,,2026-09-09T17:35:00Z,0.33,open,,,,,KXLOWTLAX,Lowest Temperature in LA,KLAX,2026-09-07,greater,70.0,,min,70.0,0,2.23,literature_placeholder
KXLOWTLAX-26SEP07-B69.5,weather,no,2026-09-09T17:35:00Z,0.827,0.705,0.122,False,,,,2026-09-09T17:35:00Z,0.705,open,,,,,KXLOWTLAX,Lowest Temperature in LA,KLAX,2026-09-07,between,69.0,70.0,min,70.0,0,2.23,literature_placeholder
KXLOWTLAX-26SEP07-B67.5,weather,yes,2026-09-09T17:35:00Z,0.0956,0.01,0.0856,False,,,,2026-09-09T17:35:00Z,0.01,open,,,,,KXLOWTLAX,Lowest Temperature in LA,KLAX,2026-09-07,between,67.0,68.0,min,70.0,0,2.23,literature_placeholder
KXLOWTHOU-26SEP07-T79,weather,yes,2026-09-09T17:35:00Z,0.327,0.005,0.322,False,,,,2026-09-09T17:35:00Z,0.005,open,,,,,KXLOWTHOU,Low Temperature Houston,KHOU,2026-09-07,greater,79.0,,min,78.0,0,2.23,literature_placeholder
KXLOWTHOU-26SEP07-B78.5,weather,no,2026-09-09T17:35:00Z,0.827,0.365,0.462,False,,,,2026-09-09T17:35:00Z,0.365,open,,,,,KXLOWTHOU,Low Temperature Houston,KHOU,2026-09-07,between,78.0,79.0,min,78.0,0,2.23,literature_placeholder
KXLOWTHOU-26SEP07-B76.5,weather,no,2026-09-09T17:35:00Z,0.858,0.725,0.133,False,,,,2026-09-09T17:35:00Z,0.725,open,,,,,KXLOWTHOU,Low Temperature Houston,KHOU,2026-09-07,between,76.0,77.0,min,78.0,0,2.23,literature_placeholder
KXHIGHTMIN-26SEP07-T79,weather,yes,2026-09-09T17:35:00Z,0.185,0.06,0.125,False,,,,2026-09-09T17:35:00Z,0.06,open,,,,,KXHIGHTMIN,Minneapolis Daily High Temperature,KMSP,2026-09-07,less,,79.0,max,81.0,0,2.23,literature_placeholder
KXHIGHTMIN-26SEP07-B85.5,weather,no,2026-09-09T17:35:00Z,0.976,0.925,0.051,False,,,,2026-09-09T17:35:00Z,0.925,open,,,,,KXHIGHTMIN,Minneapolis Daily High Temperature,KMSP,2026-09-07,between,85.0,86.0,max,81.0,0,2.23,literature_placeholder
KXHIGHTMIN-26SEP07-B83.5,weather,no,2026-09-09T17:35:00Z,0.9044,0.595,0.3094,False,,,,2026-09-09T17:35:00Z,0.595,open,,,,,KXHIGHTMIN,Minneapolis Daily High Temperature,KMSP,2026-09-07,between,83.0,84.0,max,81.0,0,2.23,literature_placeholder
